Title,Conference,Human Evaluation Included,Questions Included,Section with Questions,Comments
This Email Could Save Your Life: Introducing the Task of Email Subject Line Generation,ACL2019,Y,N,,
Enhancing Topic-to-Essay Generation with External Commonsense Knowledge,ACL2019,Y,N,,
Neural Response Generation with Meta-words,ACL2019,Y,N,,
Learning to Abstract for Memory-augmented Conversational Response Generation,ACL2019,Y,N,,
Reinforced Dynamic Reasoning for Conversational Question Generation,ACL2019,Y,N,,
Learning to Control the Fine-grained Sentiment for Story Ending Generation,ACL2019,Y,N,,
Decomposable Neural Paraphrase Generation,ACL2019,Y,N,,
"Argument Generation with Retrieval, Planning, and Realization",ACL2019,Y,N,,
Retrieval-Enhanced Adversarial Training for Neural Response Generation,ACL2019,Y,N,,
Rhetorically Controlled Encoder-Decoder for Modern Chinese Poetry Generation,ACL2019,Y,N,,
PaperRobot: Incremental Draft Generation of Scientific Ideas,ACL2019,Y,N,,
Syntax-Infused Variational Autoencoder for Text Generation,ACL2019,N,NA,,
Key Fact as Pivot: A Two-Stage Model for Low Resource Table-to-Text Generation,ACL2019,N,NA,,
Negative Lexically Constrained Decoding for Paraphrase Generation,ACL2019,N,NA,,
Large-Scale Transfer Learning for Natural Language Generation,ACL2019,N,NA,,
Towards Faithful Neural Table-to-Text Generation with Content-Matching Constraints,ACL2020,Y,N,,
Neural Data-to-Text Generation via Jointly Learning the Segmentation and Correspondence,ACL2020,Y,N,,
Improving Truthfulness of Headline Generation,ACL2020,Y,N,,
Rigid Formats Controlled Text Generation,ACL2020,Y,N,,
Explicit Semantic Decomposition for Definition Generation,ACL2020,Y,N,,
Neural Syntactic Preordering for Controlled Paraphrase Generation,ACL2020,Y,N,,
Pre-train and Plug-in: Flexible Conditional Text Generation with Variational Auto-Encoders,ACL2020,Y,N,,
Automatic Generation of Citation Texts in Scholarly Papers: A Pilot Study,ACL2020,Y,N,,
ScriptWriter: Narrative-Guided Script Generation,ACL2020,N,NA,,
A Generative Model for Joint Natural Language Understanding and Generation,ACL2020,N,NA,,
"Two Birds, One Stone: A Simple, Unified Model for Text Generation from Structured and Unstructured Data",ACL2020,N,NA,,
Learning Implicit Text Generation via Feature Matching,ACL2020,N,NA,,
Smart To-Do: Automatic Generation of To-Do Items from Emails,ACL2020,N,NA,,
Posterior Control of Blackbox Generation,ACL2020,N,NA,,
Simple and Effective Retrieve-Edit-Rerank Text Generation,ACL2020,N,NA,,
Distilling Knowledge Learned in BERT for Text Generation,ACL2020,N,NA,,
Paraphrase Generation by Learning How to Edit from Samples,ACL2020,Y,Y,A.3,"figure 7, figure 8, A.3"
Improved Natural Language Generation via Loss Truncation,ACL2020,Y,Y,D,figure 8
Dirichlet Latent Variable Hierarchical Recurrent Encoder-Decoder in Dialogue Generation,EMNLP2019,Y,N,,
Low-Resource Response Generation with Template Prior,EMNLP2019,Y,N,,
An End-to-End Generative Architecture for Paraphrase Generation,EMNLP2019,Y,N,,
Clickbait? Sensational Headline Generation with Auto-tuned Reinforcement Learning,EMNLP2019,Y,N,,"says human evaluation instructions are in an appendix, but appendix not included in aclweb archival version"
Select and Attend: Towards Controllable Content Selection in Text Generation,EMNLP2019,Y,N,,
Exploring Diverse Expressions for Paraphrase Generation,EMNLP2019,Y,N,,
Keeping Consistency of Sentence Generation and Document Classification with Multi-Task Learning,EMNLP2019,Y,N,,
Generating Natural Anagrams: Towards Language Generation Under Hard Combinatorial Constraints,EMNLP2019,Y,N,,
A Modular Architecture for Unsupervised Sarcasm Generation,EMNLP2019,Y,N,,
Pun-GAN: Generative Adversarial Network for Pun Generation,EMNLP2019,Y,N,,
Knowledge Aware Conversation Generation with Explainable Reasoning over Augmented Graphs,EMNLP2019,Y,N,,
ARAML: A Stable Adversarial Training Framework for Text Generation,EMNLP2019,Y,N,,
Sentence-Level Content Planning and Style Specification for Neural Text Generation,EMNLP2019,Y,N,,
"Read, Attend and Comment: A Deep Architecture for Automatic News Comment Generation",EMNLP2019,Y,N,,
Hierarchy Response Learning for Neural Conversation Generation,EMNLP2019,Y,N,,
Long and Diverse Text Generation with Planning-based Hierarchical Variational Model,EMNLP2019,Y,N,,
Towards Controllable and Personalized Review Generation,EMNLP2019,Y,N,,
Modeling Graph Structure in Transformer for Better AMR-to-Text Generation,EMNLP2019,N,NA,,
Multi-task Learning for Natural Language Generation in Task-Oriented Dialogue,EMNLP2019,N,NA,,
Denoising based Sequence-to-Sequence Pre-training for Text Generation,EMNLP2019,N,NA,,
A Topic Augmented Text Generation Model: Joint Learning of Semantics and Structural Features,EMNLP2019,N,NA,,
Autoregressive Text Generation Beyond Feedback Loops,EMNLP2019,N,NA,,
Enhancing Variational Autoencoders with Mutual Information Neural Estimation for Text Generation,EMNLP2019,N,NA,,
Toward a Task of Feedback Comment Generation for Writing Learning,EMNLP2019,N,NA,,
Improving Neural Story Generation by Targeted Common Sense Grounding,EMNLP2019,N,NA,,
FlowSeq: Non-Autoregressive Conditional Sequence Generation with Generative Flow,EMNLP2019,N,NA,,
Task-Oriented Conversation Generation Using Heterogeneous Memory Networks,EMNLP2019,N,NA,,
Deep Copycat Networks for Text-to-Text Generation,EMNLP2019,N,NA,,
Building Task-Oriented Visual Dialog Systems Through Alternative Optimization Between Dialog Policy and Language Generation,EMNLP2019,Y,Y,A,"figure 3, figure 4"
Counterfactual Story Reasoning and Generation,EMNLP2019,Y,Y,5.1,written out
Towards Coherent and Engaging Spoken Dialog Response Generation Using Automatic Conversation Evaluators,INLG2019,Y,N,,
A Good Sample is Hard to Find: Noise Injection Sampling and Self-Training for Neural Language Generation Models,INLG2019,Y,N,,
Natural Language Generation at Scale: A Case Study for Open Domain Question Answering,INLG2019,Y,N,,
Multiple News Headlines Generation using Page Metadata,INLG2019,N,NA,,
BERT for Question Generation,INLG2019,N,NA,,
Visually grounded generation of entailments from premises,INLG2019,Y,Y,4.2,figure 3
Semi-Supervised Neural Text Generation by Joint Learning of Natural Language Generation and Natural Language Understanding Models,INLG2019,Y,Y,5.2,written out
Linguistically-Informed Specificity and Semantic Plausibility for Dialogue Generation,NAACL2019,Y,N,,"cites study after which instructions were modeled, not otherwise included"
Latent Code and Text-based Generative Adversarial Networks for Soft-text Generation,NAACL2019,Y,N,,
"Plan, Write, and Revise: an Interactive System for Open-Domain Story Generation",NAACL2019,Y,N,,
A Case Study on Neural Headline Generation for Editing Support,NAACL2019,Y,N,,"mentions Appendix B, no appendix in aclweb archival paper version"
Topic-Guided Variational Auto-Encoder for Text Generation,NAACL2019,N,NA,,
Pragmatically Informative Text Generation,NAACL2019,N,NA,,
Text Generation with Exemplar-based Adaptive Decoding,NAACL2019,N,NA,,
Accelerated Reinforcement Learning for Sentence Generation by Vocabulary Prediction,NAACL2019,N,NA,,
Neural Text Generation from Rich Semantic Representations,NAACL2019,N,NA,,
Towards Content Transfer through Grounded Text Generation,NAACL2019,Y,Y,5.2,written out
Pun Generation with Surprise,NAACL2019,Y,Y,4,written out
